OMBControlNumber,ICRReferenceNumber,REQUEST_TYPE_ABBR,ParentAgencyCode,ParentAgencyAcronym,ParentAgencyName,AgencyCode,AgencyAcronym,AgencyName,ICRTitle,ICTitle,CommonFormFlag,ConcludedDate,ExpirationDate,Abstract,documentType,OtherType,FormNumber,FormName,OriginalFileName,URL,AvailableElectronically,CanSubmittedElectronically,ElectronicCapability,LineOfBusiness,Subfunction,PublicCode
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Cross Agency,SACP_CA_final(1).doc,Not available yet,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Officers,SACP_Officers_final(1).doc,Not available yet,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),CP-SAT Short Form,No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Short Form,CP-SAT Short Form_6 22 11_v34FINAL.docx, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),CP-SAT Short Form Translated Spanish,No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Short Form (Spanish translation),CP-SAT Short Form_translated_final.docx, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,Individuals or Households
1103-0105,201108-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,Community Policing Self-Assessment Tool (CP-SAT),Community Policing Self-Assessment Tool (CP-SAT),No,10/25/11,7/31/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would require the completion of the Community Policing Self-Assessment Tool from law enforcement agencies in order to improve the practice of community policing throughout the United States. ",Form and Instruction, ,None,CP-SAT Supervisors,SACP_Supervisors_final(1).doc,Not available yet,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0107,201101-1103-001,ICR New,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Rural Law Enforcement Training Needs Assessment Survey,COPS Rural Law Enforcement Training Needs Assessment Survey,No,1/19/11,1/31/14,"The Rural Law Enforcement Training Needs Assessment survey is a new information collection process that will solicit information on the training needs of personnel in law enforcement agencies serving rural communities: (1) through the self reports of law enforcement executives and field-level personnel, and (2) via the perspectives of State Peace Officer Standards and Training (POST) and State and local Training Academy Directors. The project team will analyze the information collected through the survey, including identifying the training needs of law enforcement personnel and the existing training available to them, and conduct a training gap analysis. They will also make recommendations regarding the type(s) of training needs that Rural Policing Institute (RPI) might address through the development and delivery of training, with a focus on how the training type, format, and mode of delivery can best meet the needs of law enforcement personnel serving rural areas. The information will enable the Institute to address gaps in training and avoid developing new training that duplicates what is currently being provided.",Form and Instruction, ,COPS CEO Survey (PDF version),COPS CEO Survey (PDF version),CEOSurvey 12-21-10[1].pdf, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0107,201101-1103-001,ICR New,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Rural Law Enforcement Training Needs Assessment Survey,COPS Rural Law Enforcement Training Needs Assessment Survey,No,1/19/11,1/31/14,"The Rural Law Enforcement Training Needs Assessment survey is a new information collection process that will solicit information on the training needs of personnel in law enforcement agencies serving rural communities: (1) through the self reports of law enforcement executives and field-level personnel, and (2) via the perspectives of State Peace Officer Standards and Training (POST) and State and local Training Academy Directors. The project team will analyze the information collected through the survey, including identifying the training needs of law enforcement personnel and the existing training available to them, and conduct a training gap analysis. They will also make recommendations regarding the type(s) of training needs that Rural Policing Institute (RPI) might address through the development and delivery of training, with a focus on how the training type, format, and mode of delivery can best meet the needs of law enforcement personnel serving rural areas. The information will enable the Institute to address gaps in training and avoid developing new training that duplicates what is currently being provided.",Form and Instruction, ,COPS Field Officer Survey (PDF version),COPS Field Officer Survey (PDF version),FieldOfficerSurvey 12-21-10.pdf, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0107,201101-1103-001,ICR New,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Rural Law Enforcement Training Needs Assessment Survey,COPS Rural Law Enforcement Training Needs Assessment Survey,No,1/19/11,1/31/14,"The Rural Law Enforcement Training Needs Assessment survey is a new information collection process that will solicit information on the training needs of personnel in law enforcement agencies serving rural communities: (1) through the self reports of law enforcement executives and field-level personnel, and (2) via the perspectives of State Peace Officer Standards and Training (POST) and State and local Training Academy Directors. The project team will analyze the information collected through the survey, including identifying the training needs of law enforcement personnel and the existing training available to them, and conduct a training gap analysis. They will also make recommendations regarding the type(s) of training needs that Rural Policing Institute (RPI) might address through the development and delivery of training, with a focus on how the training type, format, and mode of delivery can best meet the needs of law enforcement personnel serving rural areas. The information will enable the Institute to address gaps in training and avoid developing new training that duplicates what is currently being provided.",Form and Instruction, ,COPS POST Survey (PDF version),COPS POST Survey (PDF version),POSTSurvey 122110[1].pdf, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0108,201106-1103-002,ICR New,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Police and Communities Together (PACT) 360 Needs Assessment Survey,PACT 360 Needs Assessment Survey Instrument,No,9/14/11,9/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would request the completion of the Police and Communities Together (PACT) 360 Needs Assessment Survey from law enforcement agencies and substance abuse prevention and treatment providers in order to improve the delivery of substance abuse prevention programs to parents and teens in U.S. communities.",Form and Instruction, ,None,None,COPSNEEDSASSESSMENT_9_9_webversion.pdf, ,Yes,Yes,Fillable Printable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0109,201205-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Generic Information Collection Review of Customer Outreach and Information,COPS Customer Outreach and Information Sample,No,5/30/12,11/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would request the completion of the COPS Generic Information Collection Review of Customer Outreach and Information from participants of COPS-funded forums, conferences and roundtable discussions in order to better ensure that COPS Office products and services (publications and training) will be useful and beneficial to the law enforcement field.",Other,Questions communicated verbally, , ,Collection Instrument - Sample Event Questions.docx, ,No, ,Paper Only,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1103-0109,201205-1103-001,ICR Chg,1100,DOJ,Department of Justice,1103,DOJADM,General Administration,COPS Generic Information Collection Review of Customer Outreach and Information,COPS Customer Outreach and Information Sample,No,5/30/12,11/30/14,"Under the Violent Crime and Control Act of 1994, the U.S. Department of Justice COPS Office would request the completion of the COPS Generic Information Collection Review of Customer Outreach and Information from participants of COPS-funded forums, conferences and roundtable discussions in order to better ensure that COPS Office products and services (publications and training) will be useful and beneficial to the law enforcement field.",Other,Questions answered electronically, , ,Question Bank Screenshots 2.9.12.pdf, ,Yes,Yes,Fillable Fileable,Law Enforcement,Crime Prevention,"State, Local, and Tribal Governments"
1105-0008,201201-1105-004,ICR Ext,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claim for Damage Injury or Death,Claim for Damage Injury or Death,No,5/31/12,5/31/15,This form is utilized by those persons making a claim against the United States Government under the Federal Tort Claims Act.        ,Form and Instruction, ,SF 95,"Claim for Damage, Injury, or Death",SF95.pdf,http://www.usdoj.gov/civil/forms/SF95.pdf,Yes,No,Fillable Printable,Litigation and Judicial Activities,Legal Investigation,Individuals or Households
1105-0025,200902-1105-001,ICR Ext,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Department of Justice Federal Coal Lease Review Information,Department of Justice Federal Coal Lease Review Information,No,5/20/09,8/31/12,These forms seek information regarding a prospective coal leasee's existing coal reserves.  The Department uses this information to determine whether the lease transfer is consistent with the antitrust laws.       ,Form and Instruction, ,ATR-139,Western Federal Coal Lease Form,Form 139_2012 Western Federal Coal Lease Formdf.pdf, ,No, ,Printable Only,Energy,Energy Resource Management,Private Sector
1105-0025,200902-1105-001,ICR Ext,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Department of Justice Federal Coal Lease Review Information,Department of Justice Federal Coal Lease Review Information,No,5/20/09,8/31/12,These forms seek information regarding a prospective coal leasee's existing coal reserves.  The Department uses this information to determine whether the lease transfer is consistent with the antitrust laws.       ,Form and Instruction, ,ATR-140,Eastern Federal Coal Lease Form,Form 140_2012 Eastern Federal Coal Lease Formdf.pdf, ,No, ,Printable Only,Energy,Energy Resource Management,Private Sector
1105-0030,201001-1105-001,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Attorney General's Honors Program and Summer Law Intern Program Electronic Applications,Attorney General's Honors Program and Summer Law Intern Program Electronic Applications,No,5/17/10,5/31/13,Application for student legal employment.  The Honors Program is the only way the Department hires graduating law students. Summer Program introduces law students to the work of the Department; many are hired through the Honors Programs.       ,Form, ,xxxx,HP Travel Reimbursement Form,HP Travel reimbursementform.pdf,http://www.usdoj.gov/oarm/arm/hp/reimbursementform.pdf,Yes,No,Fillable Printable,Workforce Management,Training and Employment,Individuals or Households
1105-0030,201001-1105-001,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Attorney General's Honors Program and Summer Law Intern Program Electronic Applications,Attorney General's Honors Program and Summer Law Intern Program Electronic Applications,No,5/17/10,5/31/13,Application for student legal employment.  The Honors Program is the only way the Department hires graduating law students. Summer Program introduces law students to the work of the Department; many are hired through the Honors Programs.       ,Form, ,xxxx,HP Travel Survey,HP Travel Survey.pdf,http://www.usdoj.gov/oarm/images/hptvsurvey.pdf,Yes,No,Fillable Printable,Workforce Management,Training and Employment,Individuals or Households
1105-0052,201008-1105-004,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claims Under the Radiation Exposure Compensation Act (RECA),Claims Under the Radiation Exposure Compensation Act (RECA),No,1/8/12,1/31/15,"Under 42 USC 2210, the Department of Justice would require personal information from individuals applying to receive funds under the Radiation Exposure Compensation Act in order to determine their eligibility.",Form and Instruction, ,OMB Number 1105-0052,RECA Downwinder,RECA Downwinder_revised_091311.pdf,http://www.usdoj.gov/civil/torts/const/reca/claimform.htm,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0052,201008-1105-004,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claims Under the Radiation Exposure Compensation Act (RECA),Claims Under the Radiation Exposure Compensation Act (RECA),No,1/8/12,1/31/15,"Under 42 USC 2210, the Department of Justice would require personal information from individuals applying to receive funds under the Radiation Exposure Compensation Act in order to determine their eligibility.",Form and Instruction, ,OMB Number 1105-0052,RECA Onsite Participant,RECA Onsite Participant_revised_091311.pdf,http://www.usdoj.gov/civil/torts/const/reca/claimform.htm,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0052,201008-1105-004,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claims Under the Radiation Exposure Compensation Act (RECA),Claims Under the Radiation Exposure Compensation Act (RECA),No,1/8/12,1/31/15,"Under 42 USC 2210, the Department of Justice would require personal information from individuals applying to receive funds under the Radiation Exposure Compensation Act in order to determine their eligibility.",Form and Instruction, ,OMB Number 1105-0052,RECA Uranium Mill,RECA Uranium Mill_revised_091311.pdf,http://www.usdoj.gov/civil/torts/const/reca/claimform.htm,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0052,201008-1105-004,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claims Under the Radiation Exposure Compensation Act (RECA),Claims Under the Radiation Exposure Compensation Act (RECA),No,1/8/12,1/31/15,"Under 42 USC 2210, the Department of Justice would require personal information from individuals applying to receive funds under the Radiation Exposure Compensation Act in order to determine their eligibility.",Form and Instruction, ,OMB Number 1105-0052,RECA Uranium Mine,RECA Uranium Mine_revised_091311.pdf,http://www.usdoj.gov/civil/torts/const/reca/claimform.htm,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0052,201008-1105-004,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Claims Under the Radiation Exposure Compensation Act (RECA),Claims Under the Radiation Exposure Compensation Act (RECA),No,1/8/12,1/31/15,"Under 42 USC 2210, the Department of Justice would require personal information from individuals applying to receive funds under the Radiation Exposure Compensation Act in order to determine their eligibility.",Form and Instruction, ,OMB Number 1105-0052,RECA Uranium Ore,RECA Uranium Ore_revised_091311.pdf,http://www.usdoj.gov/civil/torts/const/reca/claimform.htm,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0080,200905-1105-001,ICR Rev,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Annuity Broker Qualification Declaration Form,Annuity Broker Qualification Declaration Form,No,12/30/09,12/31/12,This declaration is to be submitted to determine whether a broker meets the minimum qualifications to be listed as an annuity broker pursuant to Section 11015(b) of Public Law 107-273.        ,Form and Instruction, ,1105-0080,Annuity Broker Qualification Declaration Form,Annuity Broker Declaration Form.pdf,http://www.justice.gov/civil/settlement/Annuity_Broker_Declaration.pdf,Yes,No,Printable Only,Litigation and Judicial Activities,Resolution Facilitation,Individuals or Households
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,OMB Number 1105-0084,Credit Counseling Application,Credit Counseling Application_022212.doc, ,Yes,No,Fillable Fileable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,xxxx,CC Application Appendix A,CC_Application_Appendix_A.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,xxxx,CC Application Appendix E,CC_Application_Appendix_E.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,xxxx,CC Application Appendix d,CC_Application_Appendix_D.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,xxxx,CC Application B,CC_Application_Appendix_B.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Form, ,xxxx,CC Appllication C,CC_Application_Appendix_C.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
1105-0084,201202-1105-001,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Non-Profit Budget and Credit Counseling Agencies,Application for Non-Profit Budget and Credit Counseling Agencies,No,6/4/12,8/31/12,"Under the Bankruptcy Abuse Prevention and Consumer Protection Act of 2005 (Act), Pub.L. 109-8, the United States Trustee (UST) is charged with creating an approved list of credit counseling agencies.  Each agency must meet minimum qualifications established by Congress in the new law.  The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress. The respondents to the application will be credit counseling agencies who seek to counsel individuals before they file for bankruptcy. ",Instruction, , , ,Credit Counseling Instructions_022212.doc, ,Yes,Yes,Printable Only,General Government,Executive Functions,Private Sector
1105-0085,201202-1105-002,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Debt Education Course Provider,Application for Debt Education Course Provider,No,6/4/12,8/31/12,"Under the new bankruptcy Act, Pub.L. 109-8, the United States Trustee is charged with creating an approved list of debt education course providers. Each course provider must meet minimum qualifications established by Congress in the new law. The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress.  The respondents to the application will be debt education providers who will educate individuals regarding personal finances after they file for bankruptcy.  ",Form, ,OMB Number 1105-0085,Debt Education Application,Debtor Education Application_022212.doc, ,Yes,Yes,Fillable Fileable,General Government,Executive Functions,Private Sector
1105-0085,201202-1105-002,ICR Chg,1100,DOJ,Department of Justice,1105,LA,Legal Activities,Application for Debt Education Course Provider,Application for Debt Education Course Provider,No,6/4/12,8/31/12,"Under the new bankruptcy Act, Pub.L. 109-8, the United States Trustee is charged with creating an approved list of debt education course providers. Each course provider must meet minimum qualifications established by Congress in the new law. The UST needs the information in the application in order to evaluate whether the applicants meet these qualifications established by Congress.  The respondents to the application will be debt education providers who will educate individuals regarding personal finances after they file for bankruptcy.  ",Form, ,xxxx,Appendix F Revised,Appendix F Revised.pdf, ,Yes,No,Fillable Printable,General Government,Executive Functions,Private Sector
